omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.239959090393e-01
1.000000000000e+00,mode_1,mode_2,-5.413570769527e-02
1.000000000000e+00,mode_2,mode_1,-5.392207987471e-02
1.000000000000e+00,mode_2,mode_2,5.298970371932e-02
2.000000000000e+00,mode_1,mode_1,2.240981198383e-01
2.000000000000e+00,mode_1,mode_2,-5.407519001000e-02
2.000000000000e+00,mode_2,mode_1,-5.392941447145e-02
2.000000000000e+00,mode_2,mode_2,5.300275024305e-02
3.000000000000e+00,mode_1,mode_1,2.242523557205e-01
3.000000000000e+00,mode_1,mode_2,-5.402703900734e-02
3.000000000000e+00,mode_2,mode_1,-5.392701325574e-02
3.000000000000e+00,mode_2,mode_2,5.305566567267e-02
4.000000000000e+00,mode_1,mode_1,2.244078566321e-01
4.000000000000e+00,mode_1,mode_2,-5.393099359666e-02
4.000000000000e+00,mode_2,mode_1,-5.388790561996e-02
4.000000000000e+00,mode_2,mode_2,5.313301004012e-02
5.000000000000e+00,mode_1,mode_1,2.247052578182e-01
5.000000000000e+00,mode_1,mode_2,-5.383724332291e-02
5.000000000000e+00,mode_2,mode_1,-5.387051179863e-02
5.000000000000e+00,mode_2,mode_2,5.324153828385e-02
6.000000000000e+00,mode_1,mode_1,2.247424138429e-01
6.000000000000e+00,mode_1,mode_2,-5.366516662047e-02
6.000000000000e+00,mode_2,mode_1,-5.376180889864e-02
6.000000000000e+00,mode_2,mode_2,5.330605091825e-02
7.000000000000e+00,mode_1,mode_1,2.247360708337e-01
7.000000000000e+00,mode_1,mode_2,-5.354414942742e-02
7.000000000000e+00,mode_2,mode_1,-5.368390161454e-02
7.000000000000e+00,mode_2,mode_2,5.333804722783e-02
8.000000000000e+00,mode_1,mode_1,2.246418835316e-01
8.000000000000e+00,mode_1,mode_2,-5.347153582854e-02
8.000000000000e+00,mode_2,mode_1,-5.363246346944e-02
8.000000000000e+00,mode_2,mode_2,5.332615053945e-02
9.000000000000e+00,mode_1,mode_1,2.244923204249e-01
9.000000000000e+00,mode_1,mode_2,-5.343807983906e-02
9.000000000000e+00,mode_2,mode_1,-5.360974403408e-02
9.000000000000e+00,mode_2,mode_2,5.327728690513e-02
1.000000000000e+01,mode_1,mode_1,2.243658736801e-01
1.000000000000e+01,mode_1,mode_2,-5.346678780180e-02
1.000000000000e+01,mode_2,mode_1,-5.364455864488e-02
1.000000000000e+01,mode_2,mode_2,5.319233943298e-02
1.100000000000e+01,mode_1,mode_1,2.240104897715e-01
1.100000000000e+01,mode_1,mode_2,-5.349579125814e-02
1.100000000000e+01,mode_2,mode_1,-5.366271047799e-02
1.100000000000e+01,mode_2,mode_2,5.303154427942e-02
1.200000000000e+01,mode_1,mode_1,2.237197547354e-01
1.200000000000e+01,mode_1,mode_2,-5.360956363907e-02
1.200000000000e+01,mode_2,mode_1,-5.376962564709e-02
1.200000000000e+01,mode_2,mode_2,5.282043984521e-02
1.300000000000e+01,mode_1,mode_1,2.233111277330e-01
1.300000000000e+01,mode_1,mode_2,-5.377524106848e-02
1.300000000000e+01,mode_2,mode_1,-5.391234737232e-02
1.300000000000e+01,mode_2,mode_2,5.254511368663e-02
1.400000000000e+01,mode_1,mode_1,2.228116619577e-01
1.400000000000e+01,mode_1,mode_2,-5.401069286218e-02
1.400000000000e+01,mode_2,mode_1,-5.412838048943e-02
1.400000000000e+01,mode_2,mode_2,5.217456143648e-02
1.500000000000e+01,mode_1,mode_1,2.221768634279e-01
1.500000000000e+01,mode_1,mode_2,-5.441076039821e-02
1.500000000000e+01,mode_2,mode_1,-5.447927295713e-02
1.500000000000e+01,mode_2,mode_2,5.166799373299e-02
1.600000000000e+01,mode_1,mode_1,2.213071061368e-01
1.600000000000e+01,mode_1,mode_2,-5.498451352726e-02
1.600000000000e+01,mode_2,mode_1,-5.504578119860e-02
1.600000000000e+01,mode_2,mode_2,5.086960432467e-02
1.700000000000e+01,mode_1,mode_1,2.201133329576e-01
1.700000000000e+01,mode_1,mode_2,-5.562573941112e-02
1.700000000000e+01,mode_2,mode_1,-5.584638208755e-02
1.700000000000e+01,mode_2,mode_2,4.974365372151e-02
1.800000000000e+01,mode_1,mode_1,2.192954540253e-01
1.800000000000e+01,mode_1,mode_2,-5.546281725047e-02
1.800000000000e+01,mode_2,mode_1,-5.590953335946e-02
1.800000000000e+01,mode_2,mode_2,4.921375703244e-02
1.900000000000e+01,mode_1,mode_1,2.203485309506e-01
1.900000000000e+01,mode_1,mode_2,-5.480080453429e-02
1.900000000000e+01,mode_2,mode_1,-5.484950436988e-02
1.900000000000e+01,mode_2,mode_2,5.023143285177e-02
2.000000000000e+01,mode_1,mode_1,2.213212328334e-01
2.000000000000e+01,mode_1,mode_2,-5.455442816973e-02
2.000000000000e+01,mode_2,mode_1,-5.466120891176e-02
2.000000000000e+01,mode_2,mode_2,5.092157912287e-02
2.100000000000e+01,mode_1,mode_1,2.214314464970e-01
2.100000000000e+01,mode_1,mode_2,-5.450417036204e-02
2.100000000000e+01,mode_2,mode_1,-5.465790158356e-02
2.100000000000e+01,mode_2,mode_2,5.105242463049e-02
2.200000000000e+01,mode_1,mode_1,2.216167614290e-01
2.200000000000e+01,mode_1,mode_2,-5.446753036341e-02
2.200000000000e+01,mode_2,mode_1,-5.462513429481e-02
2.200000000000e+01,mode_2,mode_2,5.118232973856e-02
2.300000000000e+01,mode_1,mode_1,2.217536597435e-01
2.300000000000e+01,mode_1,mode_2,-5.443336791399e-02
2.300000000000e+01,mode_2,mode_1,-5.458803573391e-02
2.300000000000e+01,mode_2,mode_2,5.128243940623e-02
2.400000000000e+01,mode_1,mode_1,2.218532967087e-01
2.400000000000e+01,mode_1,mode_2,-5.443467840656e-02
2.400000000000e+01,mode_2,mode_1,-5.458286180290e-02
2.400000000000e+01,mode_2,mode_2,5.134055525096e-02
2.500000000000e+01,mode_1,mode_1,2.219372209528e-01
2.500000000000e+01,mode_1,mode_2,-5.442792691427e-02
2.500000000000e+01,mode_2,mode_1,-5.456992187558e-02
2.500000000000e+01,mode_2,mode_2,5.138848467120e-02
2.600000000000e+01,mode_1,mode_1,2.220386527103e-01
2.600000000000e+01,mode_1,mode_2,-5.442300100723e-02
2.600000000000e+01,mode_2,mode_1,-5.456144963328e-02
2.600000000000e+01,mode_2,mode_2,5.143774574261e-02
2.700000000000e+01,mode_1,mode_1,2.221048959155e-01
2.700000000000e+01,mode_1,mode_2,-5.441766336747e-02
2.700000000000e+01,mode_2,mode_1,-5.455357209684e-02
2.700000000000e+01,mode_2,mode_2,5.147212225199e-02
2.800000000000e+01,mode_1,mode_1,2.221553536971e-01
2.800000000000e+01,mode_1,mode_2,-5.441203292776e-02
2.800000000000e+01,mode_2,mode_1,-5.454727956048e-02
2.800000000000e+01,mode_2,mode_2,5.149868554802e-02
2.900000000000e+01,mode_1,mode_1,2.221924390672e-01
2.900000000000e+01,mode_1,mode_2,-5.439609001641e-02
2.900000000000e+01,mode_2,mode_1,-5.453721385372e-02
2.900000000000e+01,mode_2,mode_2,5.152270167435e-02
3.000000000000e+01,mode_1,mode_1,2.222148547774e-01
3.000000000000e+01,mode_1,mode_2,-5.437788679706e-02
3.000000000000e+01,mode_2,mode_1,-5.452654428454e-02
3.000000000000e+01,mode_2,mode_2,5.154431570252e-02
3.100000000000e+01,mode_1,mode_1,2.222306158730e-01
3.100000000000e+01,mode_1,mode_2,-5.435650608249e-02
3.100000000000e+01,mode_2,mode_1,-5.451624456719e-02
3.100000000000e+01,mode_2,mode_2,5.156565510350e-02
3.200000000000e+01,mode_1,mode_1,2.222785239203e-01
3.200000000000e+01,mode_1,mode_2,-5.436996720768e-02
3.200000000000e+01,mode_2,mode_1,-5.452131835817e-02
3.200000000000e+01,mode_2,mode_2,5.157910468489e-02
3.300000000000e+01,mode_1,mode_1,2.223963828149e-01
3.300000000000e+01,mode_1,mode_2,-5.439632519728e-02
3.300000000000e+01,mode_2,mode_1,-5.455428534771e-02
3.300000000000e+01,mode_2,mode_2,5.161448414572e-02
3.400000000000e+01,mode_1,mode_1,2.221860052089e-01
3.400000000000e+01,mode_1,mode_2,-5.428392016382e-02
3.400000000000e+01,mode_2,mode_1,-5.447605019933e-02
3.400000000000e+01,mode_2,mode_2,5.159510510181e-02
3.500000000000e+01,mode_1,mode_1,2.221588068936e-01
3.500000000000e+01,mode_1,mode_2,-5.428051773143e-02
3.500000000000e+01,mode_2,mode_1,-5.446952609036e-02
