omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,2.770018893280e-01
1.000000000000e+00,mode_1,mode_2,-5.802610251253e-03
1.000000000000e+00,mode_2,mode_1,-2.576017545079e-03
1.000000000000e+00,mode_2,mode_2,1.162300955719e-01
3.016949152542e+00,mode_1,mode_1,2.774825630116e-01
3.016949152542e+00,mode_1,mode_2,-3.898881945595e-03
3.016949152542e+00,mode_2,mode_1,-2.236722929430e-03
3.016949152542e+00,mode_2,mode_2,1.159606995619e-01
5.033898305085e+00,mode_1,mode_1,2.778144559024e-01
5.033898305085e+00,mode_1,mode_2,-1.641949879640e-03
5.033898305085e+00,mode_2,mode_1,-1.421333675543e-03
5.033898305085e+00,mode_2,mode_2,1.159928257064e-01
7.050847457627e+00,mode_1,mode_1,2.753647554354e-01
7.050847457627e+00,mode_1,mode_2,-5.411767915390e-04
7.050847457627e+00,mode_2,mode_1,-1.545537975080e-03
7.050847457627e+00,mode_2,mode_2,1.141982560316e-01
9.067796610169e+00,mode_1,mode_1,2.714918148499e-01
9.067796610169e+00,mode_1,mode_2,-2.740610421952e-03
9.067796610169e+00,mode_2,mode_1,-3.924294967957e-03
9.067796610169e+00,mode_2,mode_2,1.108487545962e-01
1.108474576271e+01,mode_1,mode_1,2.704576589619e-01
1.108474576271e+01,mode_1,mode_2,-5.080326642509e-03
1.108474576271e+01,mode_2,mode_1,-5.173466815008e-03
1.108474576271e+01,mode_2,mode_2,1.097772114646e-01
1.310169491525e+01,mode_1,mode_1,2.719461538927e-01
1.310169491525e+01,mode_1,mode_2,-4.642942307627e-03
1.310169491525e+01,mode_2,mode_1,-4.504857198623e-03
1.310169491525e+01,mode_2,mode_2,1.110361690219e-01
1.511864406780e+01,mode_1,mode_1,2.725998663921e-01
1.511864406780e+01,mode_1,mode_2,-4.031198635446e-03
1.511864406780e+01,mode_2,mode_1,-3.977649910430e-03
1.511864406780e+01,mode_2,mode_2,1.117197015657e-01
1.713559322034e+01,mode_1,mode_1,2.730226000126e-01
1.713559322034e+01,mode_1,mode_2,-3.937174109596e-03
1.713559322034e+01,mode_2,mode_1,-3.849751572700e-03
1.713559322034e+01,mode_2,mode_2,1.119986885021e-01
1.915254237288e+01,mode_1,mode_1,2.731020227573e-01
1.915254237288e+01,mode_1,mode_2,-3.843671718309e-03
1.915254237288e+01,mode_2,mode_1,-3.737592798376e-03
1.915254237288e+01,mode_2,mode_2,1.121470093707e-01
2.116949152542e+01,mode_1,mode_1,2.732008142470e-01
2.116949152542e+01,mode_1,mode_2,-3.794837467783e-03
2.116949152542e+01,mode_2,mode_1,-3.679681662996e-03
2.116949152542e+01,mode_2,mode_2,1.122528471734e-01
2.318644067797e+01,mode_1,mode_1,2.732721576563e-01
2.318644067797e+01,mode_1,mode_2,-3.814156619293e-03
2.318644067797e+01,mode_2,mode_1,-3.618620020767e-03
2.318644067797e+01,mode_2,mode_2,1.123146957675e-01
2.520338983051e+01,mode_1,mode_1,2.734654733494e-01
2.520338983051e+01,mode_1,mode_2,-3.853135199582e-03
2.520338983051e+01,mode_2,mode_1,-3.644686604713e-03
2.520338983051e+01,mode_2,mode_2,1.123911284134e-01
2.722033898305e+01,mode_1,mode_1,2.735082695310e-01
2.722033898305e+01,mode_1,mode_2,-3.839014266775e-03
2.722033898305e+01,mode_2,mode_1,-3.623799956557e-03
2.722033898305e+01,mode_2,mode_2,1.124251406056e-01
2.923728813559e+01,mode_1,mode_1,2.734037531614e-01
2.923728813559e+01,mode_1,mode_2,-3.774635701115e-03
2.923728813559e+01,mode_2,mode_1,-3.561289750977e-03
2.923728813559e+01,mode_2,mode_2,1.124501121826e-01
3.125423728814e+01,mode_1,mode_1,2.734254849979e-01
3.125423728814e+01,mode_1,mode_2,-3.757072179239e-03
3.125423728814e+01,mode_2,mode_1,-3.555389050784e-03
3.125423728814e+01,mode_2,mode_2,1.124883338403e-01
3.327118644068e+01,mode_1,mode_1,2.734995292696e-01
3.327118644068e+01,mode_1,mode_2,-3.774560454597e-03
3.327118644068e+01,mode_2,mode_1,-3.547722282558e-03
3.327118644068e+01,mode_2,mode_2,1.124869328620e-01
3.528813559322e+01,mode_1,mode_1,2.734851860935e-01
3.528813559322e+01,mode_1,mode_2,-3.756499622088e-03
3.528813559322e+01,mode_2,mode_1,-3.552369898885e-03
3.528813559322e+01,mode_2,mode_2,1.125191949973e-01
3.730508474576e+01,mode_1,mode_1,2.735249636310e-01
3.730508474576e+01,mode_1,mode_2,-3.760696362219e-03
3.730508474576e+01,mode_2,mode_1,-3.530155710958e-03
3.730508474576e+01,mode_2,mode_2,1.125247895454e-01
3.932203389831e+01,mode_1,mode_1,2.735403262018e-01
3.932203389831e+01,mode_1,mode_2,-3.758858693972e-03
3.932203389831e+01,mode_2,mode_1,-3.550914817614e-03
3.932203389831e+01,mode_2,mode_2,1.125518781907e-01
4.133898305085e+01,mode_1,mode_1,2.735050394316e-01
4.133898305085e+01,mode_1,mode_2,-3.752759136330e-03
4.133898305085e+01,mode_2,mode_1,-3.508633594727e-03
4.133898305085e+01,mode_2,mode_2,1.125368226157e-01
4.335593220339e+01,mode_1,mode_1,2.735260972341e-01
4.335593220339e+01,mode_1,mode_2,-3.749557464411e-03
4.335593220339e+01,mode_2,mode_1,-3.501325416683e-03
4.335593220339e+01,mode_2,mode_2,1.125366018762e-01
4.537288135593e+01,mode_1,mode_1,2.736144502271e-01
4.537288135593e+01,mode_1,mode_2,-3.757766039289e-03
4.537288135593e+01,mode_2,mode_1,-3.528630635986e-03
4.537288135593e+01,mode_2,mode_2,1.125813929258e-01
4.738983050847e+01,mode_1,mode_1,2.736490057374e-01
