omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,-5.670592174641e-05
1.000000000000e+00,mode_1,mode_2,-1.379918600710e-04
1.000000000000e+00,mode_2,mode_1,2.666427665729e-05
1.000000000000e+00,mode_2,mode_2,6.405323592054e-05
2.000000000000e+00,mode_1,mode_1,-8.853325271004e-05
2.000000000000e+00,mode_1,mode_2,-3.122448943620e-04
2.000000000000e+00,mode_2,mode_1,5.084394399720e-05
2.000000000000e+00,mode_2,mode_2,1.539762668715e-04
3.000000000000e+00,mode_1,mode_1,1.279827296051e-04
3.000000000000e+00,mode_1,mode_2,-6.139403222012e-04
3.000000000000e+00,mode_2,mode_1,1.391900976886e-05
3.000000000000e+00,mode_2,mode_2,3.355368689068e-04
4.000000000000e+00,mode_1,mode_1,3.094399306352e-04
4.000000000000e+00,mode_1,mode_2,-8.708584836409e-04
4.000000000000e+00,mode_2,mode_1,9.571398086631e-05
4.000000000000e+00,mode_2,mode_2,6.554516020259e-04
5.000000000000e+00,mode_1,mode_1,9.102700122774e-04
5.000000000000e+00,mode_1,mode_2,-9.076752481643e-04
5.000000000000e+00,mode_2,mode_1,3.536653823597e-04
5.000000000000e+00,mode_2,mode_2,1.309531021533e-03
6.000000000000e+00,mode_1,mode_1,3.727191815836e-03
6.000000000000e+00,mode_1,mode_2,-9.602040476289e-04
6.000000000000e+00,mode_2,mode_1,4.108388150733e-04
6.000000000000e+00,mode_2,mode_2,2.681332171079e-03
7.000000000000e+00,mode_1,mode_1,6.906681277187e-03
7.000000000000e+00,mode_1,mode_2,-2.420622744078e-04
7.000000000000e+00,mode_2,mode_1,1.085054472004e-03
7.000000000000e+00,mode_2,mode_2,4.581841906465e-03
8.000000000000e+00,mode_1,mode_1,1.080187904574e-02
8.000000000000e+00,mode_1,mode_2,9.979126970068e-04
8.000000000000e+00,mode_2,mode_1,2.187519972563e-03
8.000000000000e+00,mode_2,mode_2,7.038862409312e-03
9.000000000000e+00,mode_1,mode_1,1.512310058589e-02
9.000000000000e+00,mode_1,mode_2,2.677903047593e-03
9.000000000000e+00,mode_2,mode_1,3.705767390839e-03
9.000000000000e+00,mode_2,mode_2,1.005349438698e-02
1.000000000000e+01,mode_1,mode_1,2.003817211577e-02
1.000000000000e+01,mode_1,mode_2,4.861725621881e-03
1.000000000000e+01,mode_2,mode_1,5.697335088317e-03
