omega_rad_s,influenced_mode,radiating_mode,value
1.000000000000e+00,mode_1,mode_1,7.145539693004e-05
1.000000000000e+00,mode_1,mode_2,-6.565402126395e-04
1.000000000000e+00,mode_2,mode_1,-2.792415350759e-05
1.000000000000e+00,mode_2,mode_2,3.041723716485e-04
3.016949152542e+00,mode_1,mode_1,9.259484160009e-04
3.016949152542e+00,mode_1,mode_2,-2.483492874473e-03
3.016949152542e+00,mode_2,mode_1,-1.671004828889e-04
3.016949152542e+00,mode_2,mode_2,1.396665759845e-03
5.033898305085e+00,mode_1,mode_1,7.463018360844e-03
5.033898305085e+00,mode_1,mode_2,-4.343565085031e-03
5.033898305085e+00,mode_2,mode_1,-3.276215049070e-06
5.033898305085e+00,mode_2,mode_2,5.525230057187e-03
7.050847457627e+00,mode_1,mode_1,2.278518659130e-02
7.050847457627e+00,mode_1,mode_2,8.485574006784e-04
7.050847457627e+00,mode_2,mode_1,5.484295065497e-03
7.050847457627e+00,mode_2,mode_2,1.645623933844e-02
9.067796610169e+00,mode_1,mode_1,4.086751029828e-02
9.067796610169e+00,mode_1,mode_2,1.365921584565e-02
9.067796610169e+00,mode_2,mode_1,1.770213707268e-02
9.067796610169e+00,mode_2,mode_2,3.297444115102e-02
1.108474576271e+01,mode_1,mode_1,5.054759339347e-02
1.108474576271e+01,mode_1,mode_2,2.877582181552e-02
1.108474576271e+01,mode_2,mode_1,2.972196196988e-02
1.108474576271e+01,mode_2,mode_2,4.577629830761e-02
1.310169491525e+01,mode_1,mode_1,2.101343890302e-02
1.310169491525e+01,mode_1,mode_2,1.992812874118e-02
1.310169491525e+01,mode_2,mode_1,1.612497163405e-02
1.310169491525e+01,mode_2,mode_2,2.122016639172e-02
1.511864406780e+01,mode_1,mode_1,-3.091415681230e-03
1.511864406780e+01,mode_1,mode_2,-2.034559398897e-03
1.511864406780e+01,mode_2,mode_1,-2.455859068398e-03
1.511864406780e+01,mode_2,mode_2,-3.072938484079e-03
1.713559322034e+01,mode_1,mode_1,-1.296102052179e-03
1.713559322034e+01,mode_1,mode_2,-2.511883042079e-04
1.713559322034e+01,mode_2,mode_1,-1.276601635193e-04
1.713559322034e+01,mode_2,mode_2,-7.854269476651e-04
1.915254237288e+01,mode_1,mode_1,-2.114305561660e-04
1.915254237288e+01,mode_1,mode_2,8.790013726122e-05
1.915254237288e+01,mode_2,mode_1,9.539111818297e-05
1.915254237288e+01,mode_2,mode_2,-8.887689811767e-05
2.116949152542e+01,mode_1,mode_1,-1.310132536129e-04
2.116949152542e+01,mode_1,mode_2,-1.128788723250e-05
2.116949152542e+01,mode_2,mode_1,3.463985891270e-06
2.116949152542e+01,mode_2,mode_2,-6.718042404035e-05
2.318644067797e+01,mode_1,mode_1,-2.729735578045e-05
2.318644067797e+01,mode_1,mode_2,1.684611704833e-06
2.318644067797e+01,mode_2,mode_1,4.508241919933e-06
2.318644067797e+01,mode_2,mode_2,-1.231963642861e-05
2.520338983051e+01,mode_1,mode_1,-8.858618584837e-06
2.520338983051e+01,mode_1,mode_2,7.265322307547e-06
2.520338983051e+01,mode_2,mode_1,6.114246455932e-06
2.520338983051e+01,mode_2,mode_2,1.367254821270e-06
2.722033898305e+01,mode_1,mode_1,-1.313083418434e-06
2.722033898305e+01,mode_1,mode_2,2.307902514285e-06
2.722033898305e+01,mode_2,mode_1,1.623979874480e-06
2.722033898305e+01,mode_2,mode_2,1.257138734631e-06
2.923728813559e+01,mode_1,mode_1,-2.503875236327e-07
2.923728813559e+01,mode_1,mode_2,1.726107754559e-07
2.923728813559e+01,mode_2,mode_1,2.114718431400e-07
2.923728813559e+01,mode_2,mode_2,-2.303345827154e-08
3.125423728814e+01,mode_1,mode_1,-1.156689554653e-07
3.125423728814e+01,mode_1,mode_2,-3.264071840085e-08
3.125423728814e+01,mode_2,mode_1,-3.726097753793e-08
3.125423728814e+01,mode_2,mode_2,-7.914376635220e-08
3.327118644068e+01,mode_1,mode_1,-7.654732956565e-09
3.327118644068e+01,mode_1,mode_2,-9.927573409381e-09
3.327118644068e+01,mode_2,mode_1,-1.103885233826e-08
3.327118644068e+01,mode_2,mode_2,-9.344128583255e-09
3.528813559322e+01,mode_1,mode_1,-3.393477404169e-10
3.528813559322e+01,mode_1,mode_2,8.617309250469e-10
3.528813559322e+01,mode_2,mode_1,1.103883517469e-09
3.528813559322e+01,mode_2,mode_2,1.670232148643e-10
3.730508474576e+01,mode_1,mode_1,4.501679444601e-11
3.730508474576e+01,mode_1,mode_2,7.952682387486e-11
3.730508474576e+01,mode_2,mode_1,4.510161978653e-10
3.730508474576e+01,mode_2,mode_2,-2.524513389369e-10
3.932203389831e+01,mode_1,mode_1,-4.085354095957e-11
3.932203389831e+01,mode_1,mode_2,-4.781632596452e-11
3.932203389831e+01,mode_2,mode_1,-7.330289384473e-11
3.932203389831e+01,mode_2,mode_2,-3.152085328289e-11
4.133898305085e+01,mode_1,mode_1,-4.110947739082e-12
4.133898305085e+01,mode_1,mode_2,4.071192667020e-14
4.133898305085e+01,mode_2,mode_1,1.078599943933e-12
