eta,X,Y,Z,x1_x,x1_y,x1_z,x2_x,x2_y,x2_z,x3_x,x3_y,x3_z,SC_X,SC_Y,SC_global_X,SC_global_Y,SC_global_Z,CG_X,CG_Y,CG_global_X,CG_global_Y,CG_global_Z,NA_X,NA_Y
0.0,0.0,0.215,-0.021,0.9996844935924889,-6.25868177922738e-16,-0.02511798699595802,6.256707125023461e-16,1.0,-1.5720548754247273e-17,0.02511798699595802,-3.0814879110195774e-33,0.9996844935924889,0.0913126192516472,0.043088889537735674,0.0010823061670790592,0.1236873807483528,0.022075294716993977,0.07980722983812481,0.039993404236876536,0.0010045538075459074,0.1351927701618752,0.018980786061581618,0.07980722983812512,0.03999340423687672
0.059,0.133,0.215,-0.021999999999999995,0.9999797120987041,-7.86452948859402e-19,0.0063698815525046965,7.864369933796016e-19,1.0,5.0096121308524245e-21,-0.0063698815525046965,-7.52316384526264e-37,0.9999797120987041,0.08700647518188426,0.042343472927870524,0.13273027709292778,0.12799352481811574,0.02034261386767124,0.07597532738659639,0.03933620679842504,0.1327494330219692,0.13902467261340362,0.017335408749344163,0.07597532738659181,0.03933620679842592
0.118,0.26599999999999996,0.21499999999999997,-0.021,0.9999999372836924,1.0737391860640074e-16,-0.00035416466706161007,-1.0737391187230503e-16,1.0,3.802804813433634e-20,0.00035416466706161007,0.0,0.9999999372836924,0.08262051942306256,0.04037574266503191,0.2660142996614583,0.1323794805769374,0.01937574013281441,0.07214735962016976,0.03751244921940966,0.26601328558408843,0.1428526403798302,0.016512446866767356,0.07214735962017046,0.0375124492194098
0.177,0.3980000000000001,0.21500000000000002,-0.022000000000000002,0.999986212869587,2.0959233409755595e-18,-0.005251101859718045,-2.095894444207122e-18,1.0,1.1005906953623219e-20,0.005251101859718045,1.504632769052528e-36,0.999986212869587,0.07774430106600734,0.03848937790860815,0.39820211164391534,0.1372556989339927,0.01648884725053541,0.06805187377928737,0.035719963641399885,0.39818756916750647,0.14694812622071265,0.01371947116560281,0.06805187377928734,0.03571996364139891
0.236,0.531,0.21499999999999997,-0.022,0.9999989376800982,-3.1263685077075646e-16,-0.001457614035009262,3.1263651865040786e-16,1.0,-4.557038615445509e-19,0.001457614035009262,0.0,0.9999989376800982,0.0729570262846551,0.03676975279463853,0.5310535961077373,0.14204297371534486,0.014769713733398353,0.06404460739604424,0.03408017489027713,0.5310496757412356,0.15095539260395574,0.012080138686229085,0.06404460739604448,0.034080174890277065
0.294,0.663,0.21499999999999997,-0.022999999999999996,0.9999314814295484,2.0998276342853532e-16,-0.011706085857744592,-2.099683757097657e-16,1.0,2.4580762573409055e-18,0.011706085857744592,3.851859888774472e-34,0.9999314814295484,0.06803459347864611,0.03500266593375148,0.6634097442126705,0.14696540652135387,0.012000267601119708,0.0598885949668882,0.03240648036340543,0.6633793530414813,0.15511140503311177,0.009404259917697565,0.059888594966887594,0.03240648036340506
0.353,0.7950000000000002,0.215,-0.025000000000000005,0.999802108072022,3.1534083886874966e-16,-0.019893332921885623,-3.152784354621757e-16,1.0,6.2731802914827274e-18,0.019893332921885623,0.0,0.999802108072022,0.06320539702521358,0.033116423789913293,0.7956587960436351,0.15179460297478642,0.008109870316961764,0.055751300772004686,0.03060629198315313,0.7956088611559254,0.1592486992279953,0.005600235245024319,0.055751300772004415,0.030606291983153566
0.412,0.9270000000000002,0.21500000000000002,-0.028,0.9997505754756312,-1.0507563516253483e-16,-0.022333536131662383,1.0504942672221166e-16,1.0,-2.346710494459846e-18,0.022333536131662383,0.0,0.9997505754756312,0.058449600355580236,0.031232023515951366,0.9276975215256585,0.1565503996444198,0.003224233483340822,0.051731774829561705,0.02883154690416003,0.9276439103945159,0.16326822517043832,0.0008243556092866443,0.051731774829561074,0.028831546904160076
0.47,1.059,0.215,-0.030999999999999996,0.9996327092978423,-6.329063700339036e-20,-0.027100673457602156,6.326739094088537e-20,1.0,-1.715218886352514e-21,0.027100673457602156,0.0,0.9996327092978423,0.0549224050183637,0.029103350923269582,1.0597887204098935,0.1600775949816363,-0.0019073384669261624,0.04851571071784337,0.026986843854936916,1.0597313616429638,0.16648428928215664,-0.004023068161891581,0.04851571071784334,0.026986843854936885
0.529,1.1910000000000003,0.21500000000000002,-0.035,0.9995996279599434,2.104185556671311e-16,-0.028294589276801212,-2.1033430996073284e-16,1.0,5.953706608819205e-18,0.028294589276801212,7.703719777548943e-34,0.9995996279599434,0.05194813684498594,0.02683480615721519,1.1917592798185412,0.16305186315501408,-0.008175937748870498,0.045488508824020134,0.024878497796971242,1.1917039268769893,0.16951149117597988,-0.010131462857945278,0.04548850882402018,0.024878497796971336
0.588,1.323,0.21500000000000002,-0.038,0.9998241786185881,-3.1416593743713057e-16,-0.01875131594490754,3.141107003480178e-16,1.0,-5.8910247520116904e-18,0.01875131594490754,0.0,0.9998241786185881,0.04871195558913362,0.024554692762226046,1.3234604328019146,0.16628804441086642,-0.013449624477775552,0.04237087745430549,0.022766638374384557,1.3234269044291616,0.17262912254569454,-0.015237364487424531,0.04237087745430535,0.022766638374384612
0.647,1.4560000000000002,0.215,-0.04,0.9999501073119603,-1.0392038900662682e-16,-0.009989138441277252,1.0391520413907715e-16,1.0,-1.038075152658582e-18,0.009989138441277252,1.925929944387236e-34,0.9999501073119603,0.04530996813443595,0.022269868071828056,1.4562224567952387,0.16969003186556406,-0.017731243031752338,0.03909597670443871,0.02064632493185405,1.4562062389980481,0.1759040232955613,-0.019354705168794943,0.03909597670443863,0.020646324931854004
0.706,1.588,0.215,-0.04,0.9999068355174097,1.0500383867660293e-16,0.013649918884736248,-1.0499405604830263e-16,1.0,-1.4332938805215609e-18,-0.013649918884736248,0.0,0.9999068355174097,0.040844992463297106,0.020142473598655727,1.5877250568692405,0.17415500753670288,-0.019859402964475182,0.03517876186187833,0.01847890519255371,1.5877477644430429,0.17982123813812168,-0.021522816385087393,0.03517876186187762,0.018478905192553508
0.765,1.7209999999999999,0.215,-0.036,0.9989673583453644,-2.0988322055003517e-16,0.045433654491843084,2.0966648639388614e-16,1.0,9.535761726105598e-18,-0.045433654491843084,0.0,0.9989673583453644,0.03680098298730478,0.017760582826203717,1.7201930718163003,0.17819901701269522,-0.018257757491433223,0.031582355206831315,0.01629221129351096,1.7202597853011823,0.1834176447931687,-0.01972461272251684,0.031582355206827756,0.016292211293509815
0.823,1.8530000000000002,0.21499999999999997,-0.027999999999999997,0.9970806488088099,2.0971821489341716e-16,0.07635561388007295,-2.091059737729538e-16,1.0,-1.6013163040019926e-17,-0.07635561388007295,0.0,0.9970806488088099,0.03209756110878415,0.014827360725394331,1.8518678477695913,0.18290243889121582,-0.013215925547801552,0.027530935793275254,0.013568847664674045,1.8519639423069187,0.1874690642067247,-0.014470764566918896,0.027530935793275882,0.013568847664674482
0.882,1.985,0.21500000000000002,-0.015000000000000001,0.9922101870494348,1.0228336965321954e-16,0.1245750565535724,-1.0148660133566743e-16,1.0,-1.2741956559039775e-17,-0.1245750565535724,1.5407439555097887e-33,0.9922101870494348,0.02638693061976955,0.011909086347469346,1.9835164248947628,0.18861306938023048,-0.003183683207589572,0.02265182132364543,0.01088066491538633,1.9836445405528254,0.1923481786763546,-0.004204093429082309,0.022651821323645134,0.010880664915386341
0.941,2.115,0.215,0.005999999999999997,0.9802421111470938,0.0,0.19780142449913943,0.0,1.0,0.0,-0.19780142449913943,0.0,0.9802421111470938,0.020477723792267952,0.008876661480838155,2.113244183714294,0.19452227620773205,0.014701277389914877,0.0176085422004713,0.008099557384229218,2.113397896011587,0.19739145779952869,0.013939527229673879,0.017608542200471297,0.008099557384229152
1.0,2.243,0.215,0.04,0.966485126926496,0.0,0.25672261183985123,0.0,1.0,0.0,-0.25672261183985123,0.0,0.966485126926496,0.013932389556634114,0.005701995064348506,2.2415361689343825,0.20106761044336588,0.04551089342350112,0.011965182465552775,0.0052107642780980365,2.241662278984845,0.20303481753444722,0.04503612617470163,0.011965182465552785,0.00521076427809811
