Coordinate system:,Beamdyn coordinates
section in r/R,Mass per unit length [kg/m]
0.0,140.89807913496787
0.059,127.96268117022625
0.118,115.44898375406427
0.177,102.96321111749373
0.236,91.16055170314246
0.294,80.04625410463706
0.353,69.6669712184549
0.412,60.05740877350565
0.47,50.948832683457354
0.529,42.696255314014316
0.588,35.33523078917731
0.647,28.653514436299318
0.706,22.852822296286718
0.765,17.514325710987265
0.823,12.655936242971535
0.882,8.520944573919769
0.941,5.042016260798814
1.0,2.2077601093429675
